"","Age","Experience","Income","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","EducationNumber","logit.reg.pred"
"212",44,18,55,1,0.2,"Undergrad",0,0,0,0,0,0,1,0.0000870898713029196
"216",38,14,92,2,0,"Undergrad",249,0,0,0,1,1,1,0.000268616758910444
"220",56,30,61,1,2.2,"Advanced/Professional",0,0,0,0,1,1,3,0.00241516940820808
"221",32,6,25,2,0.3,"Undergrad",0,0,0,0,0,1,1,0.00000573389572954026
"222",45,19,83,2,1.7,"Graduate",0,0,0,0,1,0,2,0.04256471145429
"223",26,2,104,3,2.5,"Undergrad",0,0,0,0,0,0,1,0.00554997942109156
"224",55,25,41,3,1,"Advanced/Professional",0,0,0,0,1,0,3,0.00712915522622695
"227",24,-1,39,2,1.7,"Graduate",0,0,0,0,0,0,2,0.0033752620750695
"232",35,10,61,4,2.1,"Advanced/Professional",0,0,0,0,1,0,3,0.0279409643127106
"235",26,1,80,1,0.8,"Graduate",150,0,0,0,0,0,2,0.0262882815787415
"239",57,32,28,3,0.2,"Undergrad",0,0,0,0,1,1,1,0.00000922195582173454
"240",28,3,52,4,1.7,"Graduate",0,0,0,0,0,0,2,0.0237286185258777
"243",41,16,75,1,3.7,"Advanced/Professional",280,0,0,0,0,0,3,0.0438630980273477
"244",65,39,170,3,7.9,"Advanced/Professional",99,1,0,1,1,0,3,0.999632625606373
"245",41,17,78,4,0.8,"Undergrad",78,0,0,0,1,0,1,0.00111350465785761
"246",35,11,25,2,1,"Graduate",0,0,0,0,0,0,2,0.00139164396865013
"254",47,21,138,1,0,"Undergrad",0,0,0,0,0,0,1,0.0158340128570336
"261",51,27,58,1,0,"Undergrad",0,0,0,0,0,1,1,0.0000295510282499666
"263",49,23,33,1,0.3,"Advanced/Professional",0,0,0,1,1,1,3,0.00984238345014544
"264",27,1,74,4,1.8,"Graduate",112,0,0,0,1,1,2,0.0192283525310087
"266",49,23,23,4,0.6,"Advanced/Professional",98,0,1,0,0,0,3,0.00260836690025103
"270",43,13,33,1,0.75,"Advanced/Professional",0,0,0,0,0,0,3,0.00203592674631477
"278",29,2,30,4,1,"Advanced/Professional",0,0,0,0,0,0,3,0.00613883357241375
"280",39,14,155,2,3.9,"Undergrad",0,0,0,0,1,0,1,0.0684246138845283
"283",34,9,71,4,0.7,"Advanced/Professional",0,0,0,0,1,0,3,0.0403790141957712
"289",44,19,172,2,4.3,"Advanced/Professional",391,1,1,1,1,0,3,0.997854082897085
"295",35,9,55,1,2,"Undergrad",0,0,0,0,1,0,1,0.0000584889578609685
"301",34,9,70,4,1.3,"Undergrad",0,0,1,0,0,0,1,0.000553401721364036
"302",65,39,150,2,6.9,"Undergrad",196,0,0,0,0,0,1,0.231994372466575
"304",49,25,195,4,3,"Undergrad",617,1,0,0,0,0,1,0.899847496234613
"307",55,29,79,3,0.8,"Undergrad",0,0,0,0,1,1,1,0.000256999481088974
"308",42,18,33,1,1.4,"Advanced/Professional",0,0,0,0,1,0,3,0.000894370138064645
"314",34,9,41,3,2.3,"Undergrad",0,0,0,0,0,1,1,0.0000365526864959902
"317",57,31,165,1,1.6,"Graduate",0,1,0,0,1,0,2,0.838476437464067
"319",27,2,110,4,1.8,"Advanced/Professional",190,0,0,0,1,0,3,0.394208630255887
"320",65,39,20,3,0.7,"Graduate",0,0,0,0,0,1,2,0.000871087044449669
"322",44,20,101,3,4.4,"Graduate",82,1,0,0,0,0,2,0.384405228437918
"325",56,30,158,4,6.1,"Undergrad",0,1,0,0,0,0,1,0.477637860077767
"330",28,4,191,1,6.33,"Undergrad",0,0,0,0,1,0,1,0.326610520829722
"333",59,33,42,1,0.8,"Graduate",0,0,0,0,1,0,2,0.00208418038315611
"335",48,23,45,1,1.3,"Graduate",0,0,0,0,1,0,2,0.00218268575560093
"337",36,12,65,3,2.6,"Graduate",0,0,0,0,1,0,2,0.0218828595874225
"338",57,27,68,1,1.4,"Advanced/Professional",0,0,0,0,1,0,3,0.0141782211400489
"344",35,5,22,1,0.67,"Advanced/Professional",103,0,0,0,0,0,3,0.00100537660322608
"345",54,24,63,3,1.4,"Advanced/Professional",138,0,0,0,1,1,3,0.0102383223496602
"348",25,0,43,2,1.6,"Advanced/Professional",0,0,1,1,1,1,3,0.0127715434110953
"350",26,2,60,2,3,"Undergrad",132,1,0,0,0,0,1,0.000257557967370997
"355",44,20,173,2,1.4,"Undergrad",419,0,0,0,1,0,1,0.19719179192647
"361",35,10,55,4,1.3,"Undergrad",0,0,0,0,0,0,1,0.000444370689488991
"364",25,0,30,2,1.7,"Graduate",0,0,0,0,0,0,2,0.00195096304655034
"365",54,24,29,3,1,"Advanced/Professional",148,0,0,0,0,1,3,0.00202791791128559
"367",50,24,35,1,0.3,"Advanced/Professional",0,0,0,0,1,0,3,0.00107328789659513
"370",31,6,58,2,2.5,"Undergrad",0,0,0,0,0,1,1,0.0000606757700142531
"371",36,12,25,4,1,"Undergrad",147,0,0,0,0,0,1,0.0000728134978959287
"372",58,34,19,4,0.7,"Undergrad",0,0,0,0,0,0,1,0.0000560182205385362
"376",33,7,90,3,1.6,"Undergrad",0,0,0,0,1,0,1,0.0014254848785187
"380",25,0,28,2,1.7,"Graduate",0,0,0,0,0,0,2,0.00172131321141335
"383",65,41,133,4,2,"Undergrad",0,1,0,0,0,1,1,0.0281685875192167
"384",44,18,53,1,0.2,"Undergrad",0,0,0,0,1,0,1,0.0000438716336027714
"385",51,25,21,4,0.6,"Advanced/Professional",0,0,0,0,1,1,3,0.000724466567582328
"387",30,5,41,4,1.7,"Graduate",0,0,0,0,1,0,2,0.00712259639070675
"389",54,30,100,4,3.4,"Advanced/Professional",0,1,0,0,0,0,3,0.474582796977047
"393",54,29,48,4,1.8,"Advanced/Professional",0,0,0,0,1,0,3,0.0158429638104129
"394",53,28,18,4,0.1,"Advanced/Professional",109,0,1,1,1,1,3,0.0107249754888696
"396",60,35,64,2,2.8,"Undergrad",0,0,0,0,0,0,1,0.000487427158661411
"398",26,2,48,3,0.7,"Graduate",0,0,0,0,1,0,2,0.00481901681075497
"399",54,30,23,2,0.4,"Undergrad",0,0,0,0,0,0,1,0.0000215803016745013
"403",54,28,93,1,4.9,"Undergrad",133,0,0,1,1,1,1,0.0165871959233961
"409",60,36,89,2,2.8,"Undergrad",0,0,0,0,1,0,1,0.00125782432007979
"411",47,23,110,2,3.3,"Undergrad",0,0,0,0,1,1,1,0.00123562386467437
"415",52,28,41,3,1.9,"Graduate",0,0,0,0,0,1,2,0.00289129287258934
"416",35,8,38,4,1,"Graduate",124,0,0,0,1,0,2,0.00734150809036262
"418",53,29,83,4,1,"Graduate",0,0,0,0,1,0,2,0.10601971703582
"419",27,0,33,4,1,"Advanced/Professional",0,0,0,0,0,0,3,0.00718321132362197
"421",47,22,58,4,3.6,"Advanced/Professional",0,0,0,0,1,1,3,0.0106430924437169
"423",46,20,145,2,6.3,"Undergrad",0,0,1,1,1,0,1,0.550754978432139
"424",43,19,161,2,7.5,"Undergrad",0,0,0,0,0,0,1,0.253662683644816
"425",56,30,38,1,0.2,"Undergrad",0,0,0,0,0,0,1,0.0000359002981894269
"430",37,13,78,4,0.1,"Graduate",0,0,0,0,1,0,2,0.0554804876972676
"433",43,17,91,1,5.7,"Undergrad",0,0,0,0,1,0,1,0.00116134055824404
"434",52,28,31,4,0.2,"Undergrad",141,0,0,0,1,1,1,0.0000197448030626901
"438",36,9,31,4,1,"Graduate",0,0,1,0,1,0,2,0.00207027352426248
"439",58,32,113,2,3.8,"Graduate",119,1,0,1,1,1,2,0.859484635123866
"442",52,27,43,1,1.3,"Graduate",0,0,1,0,1,0,2,0.00100994401627624
"447",47,23,22,1,1,"Undergrad",0,0,0,0,0,1,1,0.00000343097974321453
"448",49,23,71,1,1.4,"Advanced/Professional",0,0,0,0,0,0,3,0.0208226864212677
"452",28,-2,48,2,1.75,"Advanced/Professional",89,0,0,0,1,0,3,0.00534841238467918
"453",39,13,21,3,0.2,"Graduate",0,0,0,0,0,0,2,0.00196041920689184
"457",64,39,42,3,0.5,"Graduate",116,0,0,0,1,0,2,0.00683885050021707
"458",29,3,69,3,0.3,"Advanced/Professional",0,0,0,0,0,0,3,0.0334748049900538
"465",43,19,83,4,3.6,"Advanced/Professional",0,1,0,0,0,1,3,0.0742651879441006
"467",25,0,13,2,0.9,"Advanced/Professional",0,0,0,0,1,0,3,0.000333976285851335
"474",64,39,182,1,1.2,"Graduate",547,1,0,0,1,0,2,0.964886006069995
"476",43,19,152,3,6.1,"Graduate",0,1,0,0,0,0,2,0.94790804200041
"477",60,34,53,1,0.8,"Graduate",0,0,1,0,0,1,2,0.00107434216297329
"485",25,1,113,2,0.2,"Undergrad",0,0,0,0,1,1,1,0.000642749516844124
"487",55,30,84,2,3.7,"Undergrad",304,0,1,0,1,0,1,0.000731521108985875
"492",42,18,34,4,0.3,"Undergrad",104,0,1,0,1,0,1,0.0000335013082267327
"495",41,17,160,2,8,"Undergrad",0,0,0,0,1,0,1,0.161161203707927
"496",25,0,44,4,0.6,"Graduate",0,0,0,0,1,1,2,0.00196860095049755
"502",50,26,39,3,1.9,"Graduate",0,0,0,0,1,0,2,0.00479039553943192
"503",44,19,70,1,0.1,"Graduate",0,0,0,0,0,0,2,0.0139986216512018
"504",31,5,39,4,1.8,"Advanced/Professional",185,0,0,0,0,1,3,0.00435398112397465
"505",40,10,44,3,2,"Advanced/Professional",0,0,0,0,1,0,3,0.00809548704684879
"508",64,40,32,3,0.1,"Advanced/Professional",0,0,0,0,1,0,3,0.00281409675543531
"510",52,28,118,2,6.8,"Undergrad",112,0,0,0,1,0,1,0.0149146481499687
"511",51,26,62,1,1.3,"Graduate",221,0,0,0,1,0,2,0.00846843223836213
"512",31,5,82,4,2.2,"Graduate",0,0,0,0,0,0,2,0.161360375606888
"513",39,14,54,3,3,"Undergrad",108,0,0,0,0,1,1,0.00011299749740717
"518",54,27,43,3,1,"Graduate",169,0,0,0,0,0,2,0.0141444469028548
"523",36,11,72,1,2.8,"Undergrad",224,0,0,0,0,0,1,0.000418645512729575
"525",24,-1,75,4,0.2,"Undergrad",0,0,0,0,1,0,1,0.000628927963229101
"527",26,2,205,1,6.33,"Undergrad",271,0,0,0,0,1,1,0.442664733554769
"530",39,15,82,1,0.8,"Graduate",0,0,0,0,1,0,2,0.0166110397585321
"532",32,6,50,4,2.1,"Advanced/Professional",0,0,1,1,1,1,3,0.0713387712861795
"535",53,28,41,2,0.6,"Advanced/Professional",0,0,1,0,0,0,3,0.00241695099380569
"537",25,-1,43,3,2.4,"Graduate",176,0,0,0,1,0,2,0.00630492611916066
"538",44,20,131,1,4.9,"Advanced/Professional",0,1,0,0,1,0,3,0.434724520785922
"540",57,32,21,1,0.3,"Advanced/Professional",117,0,0,0,0,0,3,0.000933651182194113
"542",30,6,141,2,4.33,"Undergrad",0,0,0,0,0,0,1,0.0451053969234359
"543",40,14,81,3,0.1,"Undergrad",0,0,0,0,1,0,1,0.000703302178532298
"545",35,10,164,2,7.8,"Undergrad",0,0,0,0,1,0,1,0.18808266268962
"546",43,19,28,4,0.3,"Undergrad",87,0,0,0,0,0,1,0.0000812533187834002
"551",60,34,54,3,0.3,"Graduate",0,0,0,0,1,1,2,0.0036354485001391
"554",52,28,101,2,0.3,"Undergrad",0,0,0,0,0,0,1,0.00273988242508887
"556",34,8,35,4,0.8,"Undergrad",137,0,0,1,1,1,1,0.000865802476396911
"560",49,25,24,4,0.2,"Undergrad",138,0,0,0,1,0,1,0.0000411758117034825
"561",43,18,59,1,3.7,"Advanced/Professional",0,0,0,0,1,0,3,0.00715142290861283
"562",63,33,41,4,1.67,"Advanced/Professional",0,0,0,0,1,0,3,0.0153981433475284
"563",28,3,85,1,0.8,"Graduate",0,0,0,0,1,1,2,0.00537184234239887
"566",55,29,79,3,0.8,"Undergrad",0,0,0,0,1,0,1,0.000872205789318161
"569",34,9,41,2,0.1,"Undergrad",161,0,0,0,1,1,1,0.0000100757386130038
"571",49,25,161,3,6.5,"Graduate",485,1,1,1,0,0,2,0.999136248609371
"573",39,15,128,1,3.4,"Undergrad",0,0,0,0,0,0,1,0.0117256334874082
"575",29,5,80,2,2,"Graduate",0,0,0,0,1,1,2,0.00789704032846697
"580",57,33,88,1,2.7,"Graduate",0,0,0,0,1,0,2,0.0422724352441105
"583",44,18,72,1,0.7,"Advanced/Professional",155,0,0,0,0,0,3,0.0218198190903214
"584",24,-1,38,2,1.7,"Graduate",0,0,0,0,1,0,2,0.00181313276196007
"586",34,4,83,4,4,"Advanced/Professional",0,0,0,0,1,0,3,0.171659184168401
"587",39,14,101,2,0.4,"Undergrad",0,0,0,0,1,1,1,0.000409843162042408
"589",41,17,40,2,2.5,"Undergrad",0,0,0,1,1,1,1,0.00044338288490153
"591",29,3,39,4,2.1,"Advanced/Professional",0,0,0,0,1,0,3,0.00696236465084393
"595",50,26,85,1,0,"Undergrad",144,0,0,0,0,0,1,0.000632788522324286
"604",63,38,28,2,0.5,"Graduate",89,0,0,0,1,0,2,0.00157836022610213
"606",57,31,41,1,0.2,"Undergrad",0,0,0,0,1,1,1,0.0000073977307640726
"607",34,8,81,3,0.9,"Graduate",208,0,0,0,1,0,2,0.0599434792576538
"608",28,3,170,1,0.1,"Advanced/Professional",0,1,0,0,0,0,3,0.854520834614246
"609",27,2,55,4,1.7,"Graduate",0,0,0,0,1,0,2,0.0162364309669221
"610",37,11,24,4,1.5,"Advanced/Professional",0,0,0,0,0,0,3,0.00486920652380399
"612",49,23,32,4,1.8,"Undergrad",83,0,0,0,0,0,1,0.000164075488623176
"618",46,20,74,4,2.6,"Advanced/Professional",0,0,0,0,1,0,3,0.0811575967599369
"622",41,17,114,2,1.8,"Graduate",0,0,0,0,1,0,2,0.209047942912106
"630",45,19,71,4,2.9,"Undergrad",218,0,0,1,1,1,1,0.014938856116347
"632",45,18,40,3,1,"Graduate",0,0,0,0,1,0,2,0.0048716996340407
"635",57,31,32,3,1.4,"Undergrad",0,0,1,1,1,1,1,0.00027345569125445
"636",60,35,35,3,0.2,"Undergrad",169,0,0,0,1,0,1,0.0000615541855024541
"637",40,16,120,2,6.1,"Undergrad",196,0,0,0,1,0,1,0.0138504598555915
"642",35,10,139,2,7.8,"Undergrad",0,0,0,0,0,0,1,0.0779459617476018
"648",62,38,64,4,2.2,"Undergrad",123,0,1,1,1,1,1,0.00440349572201548
"651",47,22,122,1,5.1,"Advanced/Professional",163,1,1,0,0,0,3,0.342725625021262
"655",54,29,129,4,4.2,"Advanced/Professional",0,1,0,0,0,0,3,0.870897970069735
"656",50,25,13,2,0.7,"Advanced/Professional",0,0,0,0,0,0,3,0.000823235167755437
"657",37,11,81,1,2.8,"Advanced/Professional",145,0,0,0,0,0,3,0.0470694384967189
"659",52,26,35,3,0.9,"Advanced/Professional",0,0,0,0,0,0,3,0.00636009451517506
"661",39,14,165,2,3.3,"Undergrad",0,0,0,0,1,0,1,0.110769134561289
"663",65,41,185,3,2,"Graduate",0,1,0,0,0,0,2,0.99028850929619
"664",46,20,49,3,2.2,"Graduate",0,0,0,0,0,0,2,0.0172815710417952
"665",54,30,64,1,1.8,"Advanced/Professional",227,0,0,0,0,1,3,0.00531221689937344
"666",54,24,61,4,2,"Advanced/Professional",0,0,1,0,1,0,3,0.024353315536138
"669",66,41,18,3,0.5,"Undergrad",0,0,0,0,0,0,1,0.0000352249711156498
"671",23,-1,61,4,2.6,"Undergrad",239,0,0,0,1,0,1,0.000472941557072934
"672",65,41,105,1,3,"Graduate",282,1,1,1,1,0,2,0.788662576172708
"673",51,27,23,1,0.2,"Undergrad",0,0,0,0,1,0,1,0.00000659188536823911
"674",34,10,22,1,0.5,"Advanced/Professional",85,0,0,0,0,0,3,0.000661258467550338
"679",52,27,61,4,1.8,"Advanced/Professional",207,0,0,0,0,0,3,0.0725208701621981
"680",55,31,103,3,1.8,"Graduate",364,0,0,0,0,0,2,0.428036535449187
"682",34,9,164,1,6,"Advanced/Professional",0,1,0,0,1,0,3,0.869707900891769
"684",40,16,82,1,3.6,"Graduate",0,0,0,0,0,0,2,0.0455103644134164
"685",43,17,164,1,2.4,"Undergrad",449,0,0,0,1,0,1,0.0985537495880224
"688",48,22,65,2,1.5,"Graduate",0,0,0,0,1,0,2,0.0143379776710747
"692",45,18,48,3,2.5,"Graduate",113,0,0,0,1,1,2,0.00345570297416729
"695",32,7,112,1,3.8,"Undergrad",81,0,0,0,1,0,1,0.00277017478241393
"697",51,27,63,2,1,"Advanced/Professional",82,0,0,0,1,0,3,0.0118113924433264
"698",42,17,85,1,3.7,"Advanced/Professional",0,0,0,0,1,0,3,0.034984791420501
"703",35,9,109,3,4,"Undergrad",0,1,0,0,0,0,1,0.01245332349612
"705",56,32,129,1,7.4,"Undergrad",0,0,0,0,0,0,1,0.0306043293513023
"708",47,20,25,3,0.67,"Graduate",0,0,0,0,1,1,2,0.000548675777939304
"711",43,17,59,3,0.9,"Advanced/Professional",87,0,0,0,1,1,3,0.00465536789963669
"715",50,23,98,3,2,"Graduate",0,0,0,0,0,0,2,0.293088593584568
"718",59,34,94,3,0.5,"Undergrad",0,0,0,0,0,1,1,0.00109739921046819
"722",49,24,39,1,1.4,"Advanced/Professional",0,0,0,0,1,0,3,0.00153502397312317
"724",50,24,61,4,2.6,"Undergrad",0,0,0,0,1,0,1,0.000609055593632496
"725",64,38,92,1,2,"Undergrad",0,0,0,0,1,0,1,0.000920212122903216
"727",58,33,53,4,2.1,"Undergrad",0,0,0,0,1,0,1,0.000360884227116585
"728",62,37,18,3,1.3,"Graduate",0,0,0,0,1,0,2,0.00148136538545605
"729",45,20,114,2,4.4,"Graduate",0,1,0,0,0,0,2,0.444813504915654
"732",28,3,90,2,3.3,"Undergrad",0,0,0,0,1,1,1,0.000281348834000234
"735",66,42,53,2,1.1,"Undergrad",0,0,0,0,1,1,1,0.0000320327669281543
"739",36,10,80,4,2.2,"Graduate",0,0,0,0,1,0,2,0.0945958098890579
"740",49,23,82,2,2.4,"Graduate",0,0,0,0,0,0,2,0.0801702304344978
"742",61,37,22,1,1.2,"Advanced/Professional",0,0,0,0,1,0,3,0.000577483956293127
"746",30,4,49,3,1.1,"Graduate",0,0,0,0,0,1,2,0.00338435504726335
"750",58,34,60,4,1.6,"Graduate",0,0,0,0,0,1,2,0.0169057743005466
"754",49,23,49,1,1.2,"Graduate",0,0,0,0,1,1,2,0.000876370151050236
"756",56,30,45,4,0.7,"Graduate",0,0,0,0,0,1,2,0.00627982993072771
"757",56,31,82,4,1.3,"Advanced/Professional",0,0,0,0,1,0,3,0.114185321376091
"758",52,28,81,3,1.8,"Graduate",0,0,1,0,0,0,2,0.0555021566495665
"761",29,3,52,3,1.1,"Graduate",0,0,0,0,1,0,2,0.00776984984427877
"762",48,24,84,3,0.7,"Undergrad",166,0,0,0,1,0,1,0.00113276492743825
"764",54,28,65,1,0.2,"Undergrad",0,0,0,0,0,1,1,0.0000558076169867476
"765",37,13,89,2,1.7,"Graduate",314,0,0,0,0,1,2,0.0361992645841733
"766",47,21,109,4,1.8,"Undergrad",0,1,0,0,0,0,1,0.0178324597508713
"769",43,19,72,2,1.7,"Undergrad",0,0,0,0,1,0,1,0.000279971628965468
"770",33,6,78,4,2,"Graduate",119,0,1,0,1,0,2,0.0485903490056404
"777",50,26,135,2,4.6,"Advanced/Professional",91,1,0,0,1,0,3,0.66367173846474
"785",48,22,98,2,6.3,"Undergrad",0,0,0,0,0,0,1,0.00645878313271021
"788",45,15,202,3,10,"Advanced/Professional",0,1,0,0,0,0,3,0.999141997240615
"793",41,16,98,1,4,"Advanced/Professional",0,0,0,0,0,1,3,0.0419070214989745
"794",24,-2,150,2,2,"Undergrad",0,0,0,0,1,0,1,0.0321530832902687
